252950,Multiplayer,Soccer,Competitive,Sports,Racing,Team-Based,Online Co-Op,Football,Fast-Paced,Co-op,Action,Funny,Great Soundtrack,Local Multiplayer,Split Screen,Local Co-Op,Singleplayer,4 Player Local,Casual,Indie
976730,Great Soundtrack,FPS,Classic,Multiplayer,Story Rich,Sci-fi,Co-op,First-Person,Epic,Action,Shooter,Lore-Rich,Aliens,Singleplayer,Beautiful,Space,Atmospheric,Adventure,Horror,Online Co-Op
238960,Free to Play,Action RPG,Hack and Slash,RPG,Multiplayer,Massively Multiplayer,Loot,Dungeon Crawler,Character Customization,Inventory Management,MMORPG,Action,Fantasy,Adventure,Singleplayer,Isometric,Online Co-Op,PvP,Horror,Point & Click
218230,Free to Play,Massively Multiplayer,FPS,Shooter,Action,Open World,Multiplayer,Team-Based,Sci-fi,Tactical,War,First-Person,PvP,Futuristic,Co-op,Online Co-Op,Strategy,Space,Adventure,RPG
730,FPS,Shooter,Multiplayer,Competitive,Action,Team-Based,e-sports,Tactical,First-Person,PvP,Online Co-Op,Co-op,Strategy,Military,War,Difficult,Trading,Realistic,Fast-Paced,Moddable
7670,FPS,Atmospheric,Story Rich,Action,Singleplayer,Horror,Steampunk,First-Person,Shooter,Sci-fi,RPG,Classic,Adventure,Dystopian ,Underwater,Immersive,Dark,Political,Great Soundtrack,Alternate History
1172470,Free to Play,Battle Royale,Multiplayer,Shooter,First-Person,PvP,FPS,Hero Shooter,Action,Team-Based,Survival,Character Customization,Tactical,Sci-fi,Loot,Funny,Lore-Rich,Cyberpunk,Cinematic,Science
230410,Free to Play,Looter Shooter,Action,Multiplayer,Co-op,Third-Person Shooter,Sci-fi,Ninja,Shooter,Parkour,Space,Online Co-Op,Third Person,Futuristic,Massively Multiplayer,PvE,RPG,Hack and Slash,Singleplayer,FPS
431960,Mature,Utilities,Software,Anime,Design & Illustration,Animation & Modeling,Casual,Memes,Indie,Cute,Early Access,Funny,Action,Singleplayer,Music,NSFW,Sandbox,Photo Editing,Game Development,Horror
218
1086940,Early Access,RPG,Dungeons & Dragons,Choices Matter,Turn-Based,Story Rich,Character Customization,Party-Based RPG,CRPG,Co-op Campaign,Fantasy,Romance,Class-Based,Dark Fantasy,PvE,Narration,Stealth,Combat,Crafting,Dragons
250820,VR,Software,Free to Play,Simulation,Psychological Horror,Beautiful,First-Person,Hentai,Atmospheric,Anime,Horror,Sexual Content,Funny,Memes,Nudity,NSFW,LGBTQ+,Family Friendly,Gore,Action
323190,Survival,City Builder,Strategy,Resource Management,Post-apocalyptic,Steampunk,Colony Sim,Building,Simulation,Base-Building,Singleplayer,Management,Choices Matter,Atmospheric,Economy,Dark,RTS,Difficult,Real-Time with Pause,Great Soundtrack
275850,Open World,Open World Survival Craft,Space,Exploration,Sci-fi,Survival,Procedural Generation,Adventure,First-Person,Sandbox,Singleplayer,Atmospheric,Multiplayer,Crafting,Space Sim,Indie,Action,Simulation,FPS,Great Soundtrack
588430,Free to Play,Base-Building,Survival,Post-apocalyptic,Singleplayer,Simulation,Management,Strategy,2D,Building,Casual,Crafting,Adventure,Sandbox,RPG,Multiplayer,Funny,Atmospheric,Action,Great Soundtrack
246620,Strategy,Simulation,Outbreak Sim,Indie,Singleplayer,Multiplayer,Zombies,Casual,Tactical,Replay Value,Post-apocalyptic,Addictive,Realistic,2D,Early Access,Difficult,Atmospheric,Co-op,Sandbox,Survival
739630,Horror,Online Co-Op,Multiplayer,Psychological Horror,Co-op,Supernatural,VR,First-Person,Investigation,Dark,Mystery,Detective,Demons,Early Access,Thriller,3D,Indie,Action,Tactical,Lovecraftian
518790,Hunting,Open World,Multiplayer,Simulation,First-Person,Shooter,Survival,Realistic,Adventure,Co-op,FPS,Action,Singleplayer,Walking Simulator,Online Co-Op,Atmospheric,Sports,Combat,Strategy,Gore
286160,Tabletop,Board Game,Simulation,Multiplayer,Sandbox,Card Game,Trading Card Game,Physics,VR,Wargame,Casual,Strategy,3D,Moddable,Online Co-Op,Co-op,RPG,Funny,First-Person,Indie
10,Action,FPS,Multiplayer,Shooter,Classic,Team-Based,First-Person,Competitive,Tactical,1990's,e-sports,PvP,Old School,Military,Strategy,Survival,Score Attack,1980s,Assassin,Violent
